Регина Алексеевна Пестова;Всеволожск;пер. Энгельса, д. 53 стр. 36;УГС;Водитель;8 755 236 4495;rodion35@mail.ru;1968-01-02;64937
Морозов Кондратий Гурьевич;Валаам;ул. Стахановская, д. 4 стр. 6;САМ-МБ;Продавец;+75589173443;vlasovpantelemon@rambler.ru;1973-05-21;162887
Якушева Алевтина Наумовна;Орск;пер. Есенина, д. 6 стр. 8;ABI Product;Токсиколог;+7 758 902 5609;tihonovpimen@rambler.ru;1988-08-20;135564
Зинаида Руслановна Брагина;Эльтон;пер. Подлесный, д. 370;Пермэнергосбыт;Лимфолог;8 (142) 126-41-94;vorontsovaalla@yandex.ru;1964-11-05;152894
Елисей Ефимович Молчанов;Астрахань;пер. 9 Января, д. 5 стр. 3/6;Либхерр-Русланд (Liebherr);Реаниматолог;8 (482) 130-3531;pmerkusheva@hotmail.com;1999-05-24;105941
Константинов Капитон Иосифович;Россошь;пр. Школьный, д. 5/1 стр. 5/9;А Групп;Логопед;85873765408;potapovnikita@mail.ru;1996-08-26;90195
Русакова Людмила Аркадьевна;Ноябрьск;ул. Зеленая, д. 697;Бристоль;Шлифовщик;+7 (550) 901-6785;turovaolimpiada@hotmail.com;1967-06-15;64633
Викентий Егорович Романов;Бодайбо;пр. Вишневый, д. 7 стр. 6;Макдоналдc (McDonald`s);Сурдолог;+7 (744) 077-20-93;maksim_68@yahoo.com;1981-10-04;48638
Давыд Матвеевич Самсонов;Верхний Баскунчак;пер. Осенний, д. 1/7 стр. 307;СТД Петрович;Сексолог;+7 864 591 50 72;odintsovapraskovja@mail.ru;1961-11-17;157410
г-н Наумов Кир Ааронович;Кызыл;пер. Фрунзе, д. 81;Merlion;Финансист;8 (843) 346-0655;dementevanaina@gmail.com;1991-08-23;115870
Артемьев Фадей Демидович;Тольятти;пр. Олимпийский, д. 2/9;Промсвязьбанк;Логик;+7 (376) 783-6027;panovtihon@mail.ru;2001-06-23;33608
Суворова Екатерина Семеновна;Шатура;пр. Васильковый, д. 8;АХ Степь;Бульдозерист;85652677673;maksim2016@yahoo.com;1983-02-10;163902
Анисим Валерьевич Колесников;Александров Гай;ш. Красноармейское, д. 355;Mail.Ru Group;Неонатолог;+7 880 988 1261;emilija12@yahoo.com;1983-08-18;154494
Яковлева Екатерина Степановна;Асбест;пер. Социалистический, д. 879 стр. 5/5;Трансмашхолдинг;Мелиоратор;+7 (437) 371-7975;foka1995@yandex.ru;2004-09-16;171309
Давыдова Акулина Рудольфовна;Североуральск;алл. Демьяна Бедного, д. 40 к. 2/4;ИКЕА Торг (INGKA);Горничная;+7 360 825 54 16;vitali_01@hotmail.com;1961-02-18;181399
Крюков Куприян Владиславович;Иркутск;наб. Торговая, д. 885 к. 90;Металлокомплект-М;Шкипер;8 948 348 53 95;dmitri86@yahoo.com;1955-12-09;113227
Меркушева Феврония Семеновна;Сорочинск;алл. Осипенко, д. 7/9 стр. 5;СК Согласие;Биофизик;8 996 544 9112;radislav_1996@mail.ru;2000-07-24;46963
Мартьян Иларионович Ершов;Лабытнанги;пер. Кавказский, д. 6/7 стр. 661;Великолукский мясокомбинат;Стрелочник;8 975 412 4593;larisa2002@gmail.com;1977-01-22;180040
Ия Евгеньевна Коновалова;Апшеронск;бул. Красноярский, д. 480 к. 908;Объединенные кондитеры;Пластический хирург;85531467465;maksimartemev@mail.ru;1979-04-03;52498
Гуляева Майя Леонидовна;Певек;пер. Виноградный, д. 88;Авиакомпания ЮТэйр;Трейдер;84646924557;sofija_89@yahoo.com;1986-02-05;71542
Лев Антонович Ларионов;Верхний Тагил;бул. Подгорный, д. 6 к. 6;ФСК Лидер;Ортопед;+7 389 370 4708;pestovizjaslav@hotmail.com;1957-12-31;173544
Тамара Ждановна Гордеева;Омск;пер. Сахалинский, д. 2/8 к. 89;Совкомфлот;Табаковод;8 391 793 34 52;julija_64@yandex.ru;1964-08-30;158476
Нестеров Варлаам Бориславович;Озеры;наб. Ясная, д. 332;НОВАТЭК;Дворник;+7 (487) 196-1607;elizaveta68@rambler.ru;2000-08-16;85982
Екатерина Константиновна Шубина;Шелагонцы;бул. Строителей, д. 80 к. 649;САП СНГ (SAP);Сомелье;+7 (375) 324-21-77;ustinovazinaida@hotmail.com;1957-12-30;80032
Виссарион Герасимович Носков;Середниково;бул. Глинки, д. 1;УГС;Военный консультант;+7 (823) 028-6013;chernovvarlaam@gmail.com;1989-11-28;120388
Харитонова Варвара Натановна;Всеволожск;ул. Горная, д. 8 стр. 77;НЗНП;Военный юрист;+7 367 340 7499;cgorshkov@rambler.ru;1974-07-04;92463
Цветков Авдей Еремеевич;Хабаровск;наб. Горького, д. 3;Южуралзолото ГК;Животновод;8 (029) 133-94-90;burovaaleksandra@hotmail.com;1992-03-18;153424
Стрелков Иннокентий Феодосьевич;Красноярск;алл. Герцена, д. 79 к. 4;Верный;Швея;80340215049;lavr_2004@rambler.ru;1996-02-27;164848
Мельников Зосима Димитриевич;Люберцы;бул. Азина, д. 6/5;Ozon;Металлург;8 449 775 62 93;filimon2011@gmail.com;1971-03-24;128255
Пимен Викторович Наумов;Каспийск;пр. Ломоносова, д. 30 к. 30;НМЖК;Бондарь;8 (960) 838-4431;makarmjasnikov@hotmail.com;2002-12-19;42191
Бирюков Филипп Марсович;Оленек;алл. Пугачева, д. 6;А.П.Р.;Продавец;8 (610) 392-7242;gurevmaksim@yahoo.com;1990-10-08;53732
Большаков Сигизмунд Ефстафьевич;Новороссийск;пр. Томский, д. 6;Прогресс;Скорняк;+75835279489;nosovvjacheslav@gmail.com;1957-04-12;40776
Семен Витальевич Анисимов;Дно;наб. Владимирская, д. 8/5 к. 2;Амурская нефтебаза;Химик;+7 (700) 127-47-03;filipp_2009@hotmail.com;1963-12-19;70011
Алексей Евсеевич Самойлов;Тотьма;алл. Тракторная, д. 70 стр. 810;Гленкор Агро Мзк (Firada);Программист;+7 (117) 605-02-54;haritonovsidor@yandex.ru;1974-10-22;164106
Белова Антонина Егоровна;Андреаполь;алл. Розы Люксембург, д. 59 стр. 3;Татэнерго;Детектив;8 258 609 80 27;nikiforovaoktjabrina@rambler.ru;1993-10-11;123778
Захарова Майя Вадимовна;Яшкуль;бул. Производственный, д. 7/7 к. 7;Агентство по страхованию вкладов (АСВ);Мусоропроводчик;+7 (411) 816-58-83;anisimovaija@yahoo.com;2004-04-01;120314
Смирнов Прохор Гордеевич;Новокузнецк;пер. Малый, д. 7/7 стр. 12;Ростех;Официант;8 682 247 95 69;hmishina@rambler.ru;1984-10-19;137113
Носкова Светлана Святославовна;Иваново;пер. Гагарина, д. 45;ТД Риф;Лётчик;+74811335748;timofe_06@gmail.com;1990-12-18;153205
Фаина Феликсовна Степанова;Кызыл;бул. Светлый, д. 778 стр. 758;Автотор холдинг;Флорист;+7 (625) 335-8277;nikandr76@gmail.com;1992-12-05;127720
Исакова Валентина Оскаровна;Териберка;пер. Брянский, д. 4;Л'Ореаль (L'Oreal);Мануалист;+7 (520) 414-6774;izotmaslov@rambler.ru;1993-07-08;165939
Дмитриев Кондрат Матвеевич;Пышма;ул. Некрасова, д. 442 стр. 543;Корпорация Электросевкавмонтаж;Каскадёр;+7 949 673 1502;faina_54@yandex.ru;1973-03-09;44588
Наталья Аскольдовна Моисеева;Юрюзань;ш. Таманское, д. 21 к. 5;Мираторг;Терапевт;8 (249) 912-67-23;luka_80@hotmail.com;1968-03-17;63984
Панов Лазарь Антонович;Хатанга;бул. Смоленский, д. 402;ABI Product;Декоратор;8 (211) 322-98-29;ratmir_1981@gmail.com;1956-09-08;21429
Тамара Харитоновна Капустина;Красноселькуп;ш. Просвещения, д. 7 стр. 50;ФСК Лидер;Библиотекарь;8 325 987 89 72;gguseva@yandex.ru;1973-07-20;54682
Назаров Ким Аксёнович;Серебряные Пруды;алл. Тамбовская, д. 7 к. 1/6;Холдинг Транспортные компоненты;Архитектор;8 (290) 120-92-67;ykrilova@gmail.com;1993-04-04;78076
Власова Агата Филипповна;Кызыл;ш. Балтийское, д. 2/8;Волгоградэнергосбыт;Юрисконсульт;8 (747) 214-20-18;mark11@yandex.ru;1957-05-21;119211
Коновалова Раиса Эдуардовна;Галич;бул. Индустриальный, д. 7/7 стр. 139;Объединенные кондитеры;Сурдопедагог;85221550676;komarovaevdokija@gmail.com;1977-07-24;109707
Мария Геннадьевна Устинова;Хабаровск;наб. Студенческая, д. 5 стр. 5/1;Первый канал;Военный юрист;8 (021) 635-1175;izot2009@yahoo.com;1975-06-24;62446
Фотий Ефстафьевич Зайцев;Салават;пер. Производственный, д. 30 к. 80;Нефтепродукттрейд;Бортинженер;+7 885 228 25 77;muhinaangelina@yandex.ru;1996-01-03;35865
Милица Павловна Ермакова;Бийск;ш. Фабричное, д. 2/1;Акрон;Автоэлектрик;+7 023 681 64 98;iosif03@gmail.com;1962-09-20;64045
Мария Руслановна Комарова;Калуга;ул. Карла Маркса, д. 3 стр. 81;Ашинский металлургический завод;Декоратор;80802896877;selivan75@gmail.com;1982-02-04;59771
Иванова Акулина Ефимовна;Смирных;алл. Стахановская, д. 2;ТГК-2;Гидролог;8 754 061 7868;andronikfokin@mail.ru;1981-08-04;159201
Валентина Даниловна Миронова;Алапаевск;пр. Саратовский, д. 8 стр. 76;Комацу СНГ (Komatsu);Драпировщик;8 (668) 921-17-39;varlaam2009@yahoo.com;1959-09-18;51496
Симон Фролович Евсеев;Гдов;наб. Коллективная, д. 6/4;Национальная медиа группа;Гинеколог;+7 782 110 6187;iosif1987@mail.ru;1972-12-28;133550
Соловьев Захар Алексеевич;Белоярский;пр. Геологический, д. 7/1;Энергосбытовая компания Восток;Мелиоратор;8 446 207 6188;noskovhariton@rambler.ru;1974-06-03;53450
Руслан Евсеевич Яковлев;Чайковский;ул. Харьковская, д. 997 стр. 5;Международный аэропорт Шереметьево;Тележурналист;+7 020 631 64 95;naina1992@hotmail.com;1961-03-18;67759
Лобанова Лукия Федоровна;Салехард;бул. Северный, д. 34 к. 65;Астеллас Фарма;Педиатр;8 (802) 232-3830;vladlen_2019@gmail.com;1973-04-13;75251
Фаина Тимофеевна Одинцова;Беломорск;ул. Декабристов, д. 970 к. 6;ФортеИнвест;Радиомеханик;+7 343 933 2683;sokratsavelev@hotmail.com;1953-11-08;71159
Горбачев Феофан Исидорович;Амдерма;алл. Хвойная, д. 1/1;Сингента (Chemchina);Танкист;8 (492) 247-7207;vlebedeva@gmail.com;1998-01-02;34257
Беляков Савелий Адрианович;Асино;ш. Республиканское, д. 274 стр. 245;Ферронордик машины (Ferronordic);Машинист локомотива;+7 010 406 4919;mili26@mail.ru;1991-11-01;115509
Богданова Зоя Руслановна;Подольск;пер. Полтавский, д. 8 к. 6;Фортум (Fortum);Повар;8 (057) 436-6213;galaktion_02@yandex.ru;1977-02-08;146271
Пимен Анисимович Федоров;Билибино;пр. Одесский, д. 6/6;Райффайзенбанк (Raiffeisen);Уролог;8 640 253 3088;elizar_1971@yandex.ru;1993-12-08;121704
Нинель Леонидовна Гордеева;Ачхой Мартан;пер. Микрорайон, д. 961 к. 508;Авторусь;Расточник;8 (340) 932-5417;mir_1988@hotmail.com;1959-03-05;148655
Валентина Тарасовна Беляева;Новочеркасск;пр. Отрадный, д. 26 к. 2/2;Сиско Солюшенз (Cisco);Географ;8 685 080 72 14;sitnikovvladlen@gmail.com;1979-08-30;28289
Фёкла Филипповна Титова;Юрьевец (Иван.);пер. Ульянова, д. 76;НПО Алмаз;Маклер биржевой;82239273768;anike_36@gmail.com;1979-05-19;103763
Степан Владиленович Королев;Снежногорск (Мурм.);алл. Лесная, д. 547;Мечел;Копирайтер;+7 743 228 2547;smirnovradovan@yahoo.com;1965-02-10;57292
Глафира Тимофеевна Бобылева;Нижневартовск;наб. Тракторная, д. 7/7 к. 2/6;Группа Газфонд;Специалист по стрижке овец;+7 034 742 34 90;dorofedavidov@yandex.ru;1971-03-18;133874
